id,gender,race,age,path,class
000002,female,Asian,52,/opt/ml/input/data/train/images/000002_female_Asian_52/normal.jpg,16
000002,female,Asian,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask3.jpg,4
000002,female,Asian,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask5.jpg,4
000002,female,Asian,52,/opt/ml/input/data/train/images/000002_female_Asian_52/incorrect_mask.jpg,10
000002,female,Asian,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask4.jpg,4
000002,female,Asian,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask1.jpg,4
000002,female,Asian,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask2.jpg,4
000005,female,Asian,58,/opt/ml/input/data/train/images/000005_female_Asian_58/normal.jpg,16
000005,female,Asian,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask3.jpg,4
000005,female,Asian,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask5.jpg,4
000005,female,Asian,58,/opt/ml/input/data/train/images/000005_female_Asian_58/incorrect_mask.jpg,10
000005,female,Asian,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask4.jpg,4
000005,female,Asian,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask1.jpg,4
000005,female,Asian,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask2.jpg,4
000006,female,Asian,59,/opt/ml/input/data/train/images/000006_female_Asian_59/normal.jpg,16
000006,female,Asian,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask3.jpg,4
000006,female,Asian,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask5.jpg,4
000006,female,Asian,59,/opt/ml/input/data/train/images/000006_female_Asian_59/incorrect_mask.jpg,10
000006,female,Asian,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask4.jpg,4
000006,female,Asian,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask1.jpg,4
000006,female,Asian,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask2.jpg,4
