id,path,age,gender,stem,img_path,gender_issue,mask_issue,label,mask_label,age_label,person_label
000001,000001_female_Asian_45,45,female,mask4,/opt/ml/input/data/train/images/000001_female_Asian_45/mask4.jpg,False,False,4,0,1,4
000001,000001_female_Asian_45,45,female,normal,/opt/ml/input/data/train/images/000001_female_Asian_45/normal.jpg,False,False,16,2,1,4
000001,000001_female_Asian_45,45,female,mask3,/opt/ml/input/data/train/images/000001_female_Asian_45/mask3.jpg,False,False,4,0,1,4
000001,000001_female_Asian_45,45,female,mask1,/opt/ml/input/data/train/images/000001_female_Asian_45/mask1.jpg,False,False,4,0,1,4
000001,000001_female_Asian_45,45,female,incorrect_mask,/opt/ml/input/data/train/images/000001_female_Asian_45/incorrect_mask.jpg,False,False,10,1,1,4
000001,000001_female_Asian_45,45,female,mask5,/opt/ml/input/data/train/images/000001_female_Asian_45/mask5.jpg,False,False,4,0,1,4
000001,000001_female_Asian_45,45,female,mask2,/opt/ml/input/data/train/images/000001_female_Asian_45/mask2.jpg,False,False,4,0,1,4
000002,000002_female_Asian_52,52,female,mask4,/opt/ml/input/data/train/images/000002_female_Asian_52/mask4.jpg,False,False,4,0,1,4
000002,000002_female_Asian_52,52,female,normal,/opt/ml/input/data/train/images/000002_female_Asian_52/normal.jpg,False,False,16,2,1,4
000002,000002_female_Asian_52,52,female,mask3,/opt/ml/input/data/train/images/000002_female_Asian_52/mask3.jpg,False,False,4,0,1,4
000002,000002_female_Asian_52,52,female,mask1,/opt/ml/input/data/train/images/000002_female_Asian_52/mask1.jpg,False,False,4,0,1,4
000002,000002_female_Asian_52,52,female,incorrect_mask,/opt/ml/input/data/train/images/000002_female_Asian_52/incorrect_mask.jpg,False,False,10,1,1,4
000002,000002_female_Asian_52,52,female,mask5,/opt/ml/input/data/train/images/000002_female_Asian_52/mask5.jpg,False,False,4,0,1,4
000002,000002_female_Asian_52,52,female,mask2,/opt/ml/input/data/train/images/000002_female_Asian_52/mask2.jpg,False,False,4,0,1,4
000004,000004_male_Asian_54,54,male,mask4,/opt/ml/input/data/train/images/000004_male_Asian_54/mask4.jpg,False,False,1,0,1,1
000004,000004_male_Asian_54,54,male,normal,/opt/ml/input/data/train/images/000004_male_Asian_54/normal.jpg,False,False,13,2,1,1
000004,000004_male_Asian_54,54,male,mask3,/opt/ml/input/data/train/images/000004_male_Asian_54/mask3.jpg,False,False,1,0,1,1
000004,000004_male_Asian_54,54,male,mask1,/opt/ml/input/data/train/images/000004_male_Asian_54/mask1.jpg,False,False,1,0,1,1
000004,000004_male_Asian_54,54,male,incorrect_mask,/opt/ml/input/data/train/images/000004_male_Asian_54/incorrect_mask.jpg,False,False,7,1,1,1
000004,000004_male_Asian_54,54,male,mask5,/opt/ml/input/data/train/images/000004_male_Asian_54/mask5.jpg,False,False,1,0,1,1
